Abbr,Explication EN,Explication FR,Remarques
(number)IN,Infantry group,Groupe d’infanterie
(number)US,Number of US personnel,Nombre de personnel américain
(number)V,Vehicles,Véhicules
(Time)L,Local time,Heure locale
(Time)Z,Zulu time - GMT,Heure GMT
42 CDO RM,42 Commando Royal Marines,42ème Commando des Royal Marines
508 STB,508th special troops battalion,508ème Bataillon des troupes spéciales
81,81mm mortar round,Mortier de 81mm
9-liner,9 Line MEDEVAC Request,Demande d’évacuation sanitaire
A/C,aircraft,Aéronef
AA,Anti-aircraft,Défense contre aéronefs,DCA
AAF,anti-afghan forces,Forces anti-afghanes
ABP,Afghan Border Police,Police des frontières afghane
AC-130,Gunship adapted from Hercules,Avion de transport Hercules
ACK,Acknowledge,Reconnait
ACM,Anti-Coalition Militia,Milice anti-coalition
AFG,Afghans,Afghans
AGL,Above Ground Level,Sous le niveau du sol
AH-1W,Attack helicopter 1W - US Marines Super Cobra gunship,Hélicoptère d’attaque américain
AIHRC,Afghan Independent Human Right Commission,Commission afghane des Droits de l’Homme
AK-47,Assault rifle,Fusil d'assaut 
AMF,Afghan Military Force ?,Force militaire afghane,http://en.wikipedia.org/wiki/Afghan_Militia_Force (à confirmer)
ANA,Afghan National Army,Armée nationale afghane
ANAP,Afghan National Auxiliary Police,Auxiliaires de la police nationale afghane
ANBP,Afghan National Border Police,Police nationale afghane des frontières
ANP,Afghan National Police,Police nationale afghane
ANSF,Afghan National Security Forces,Forces de sécurité nationale Afghane
ANSO,Afgan Ngo Safety Office,Office de sécurité des ONG en Afghanistan,Informe et préviens les ONG des conditions de sécurité en Afghanistan
AO,Area of operation,Théâtre des opérations
AP,Anti-personnel/ Armor Piercing,Anti-personnelles / Antichar
APD,Ambassadorial Protective Detail,Agent de sécurité de l'ambassade ?
AQ,Al Qaida,Al Qaida
ARSIC,Afghan regional security integrated command,Commandement régional intégré afghan
ASF,Afgan Security Forces,Forces de Sécurité Afghane
ASG,Area Support Group,Groupe de soutien régional
ASV,armoured security vehicle,Véhicule blindé
ATT,At this time,A ce moment là
ATTK,Attack,Attaque
AUP,Afghan uniform police,Uniforme de police Afghan
B-HUTS,Semi-permanent wooden structures used in place of tents,Structures semi-permanentes en bois utilisées à la place de tentes
BAF,Bagram Air Field,Aérodrome de Bagram,http://www.bagram.afcent.af.mil/index.asp
BCT,Brigade combat team (US),Brigade de combat (US)
BCP,Border Crossing Point,Point de contrôle des frontières ?
BDA,Battle damage assessment,Estimation des dégats post-combat
